config_name,algorithm,seed,eval_day,algorithm_family,total_energy_charged_kwh,retail_revenue_cop,energy_purchase_cost_cop,gross_margin_cop,retail_tariff_cop_per_kwh,retail_tariff_month,energy_purchase_cost_cop_per_kwh,cu_tariff_month,cu_with_contribution
station_n02_tx100,ChargeAsFastAsPossible,0,2022-05-21,heuristic,61.77937181537034,89580.08913228699,53486.201611932745,36093.88752035424,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,0,2022-06-15,heuristic,36.98640959421583,53630.29391161295,32021.409449902687,21608.884461710262,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,0,2022-07-10,heuristic,61.77937181537034,89580.08913228699,53486.201611932745,36093.88752035424,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,0,2022-08-24,heuristic,36.98640959421583,53630.29391161295,32021.409449902687,21608.884461710262,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,0,2022-09-17,heuristic,61.77937181537034,89580.08913228699,53486.201611932745,36093.88752035424,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,0,2022-11-09,heuristic,36.98640959421583,53630.29391161295,32021.409449902687,21608.884461710262,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,1,2022-01-17,heuristic,98.2353607014714,142441.27301713353,85048.39323394692,57392.87978318661,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,1,2022-02-14,heuristic,98.2353607014714,142441.27301713353,85048.39323394692,57392.87978318661,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,1,2022-03-05,heuristic,97.4453607014714,141295.77301713353,84364.44164894693,56931.3313681866,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,1,2022-04-06,heuristic,98.2353607014714,142441.27301713353,85048.39323394692,57392.87978318661,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,1,2022-05-21,heuristic,97.4453607014714,141295.77301713353,84364.44164894693,56931.3313681866,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,1,2022-06-15,heuristic,98.2353607014714,142441.27301713353,85048.39323394692,57392.87978318661,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,1,2022-07-10,heuristic,97.4453607014714,141295.77301713353,84364.44164894693,56931.3313681866,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,1,2022-08-24,heuristic,98.2353607014714,142441.27301713353,85048.39323394692,57392.87978318661,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,1,2022-09-17,heuristic,97.4453607014714,141295.77301713353,84364.44164894693,56931.3313681866,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,1,2022-11-09,heuristic,98.2353607014714,142441.27301713353,85048.39323394692,57392.87978318661,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,2,2022-01-17,heuristic,29.110765814495917,42210.61043101908,25202.980277706705,17007.630153312373,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,2,2022-02-14,heuristic,29.110765814495917,42210.61043101908,25202.980277706705,17007.630153312373,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,2,2022-03-05,heuristic,29.30076581449592,42486.110431019086,25367.47496270671,17118.635468312375,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,2,2022-04-06,heuristic,29.110765814495917,42210.61043101908,25202.980277706705,17007.630153312373,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,2,2022-05-21,heuristic,29.30076581449592,42486.110431019086,25367.47496270671,17118.635468312375,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,2,2022-06-15,heuristic,29.110765814495917,42210.61043101908,25202.980277706705,17007.630153312373,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,2,2022-07-10,heuristic,29.30076581449592,42486.110431019086,25367.47496270671,17118.635468312375,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,2,2022-08-24,heuristic,29.110765814495917,42210.61043101908,25202.980277706705,17007.630153312373,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,2,2022-09-17,heuristic,29.30076581449592,42486.110431019086,25367.47496270671,17118.635468312375,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,2,2022-11-09,heuristic,29.110765814495917,42210.61043101908,25202.980277706705,17007.630153312373,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,3,2022-01-17,heuristic,38.71991481130616,56143.87647639393,33522.211526908635,22621.664949485297,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,3,2022-02-14,heuristic,38.71991481130616,56143.87647639393,33522.211526908635,22621.664949485297,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,3,2022-03-05,heuristic,34.57877856831197,50139.22892405235,29936.97520146962,20202.253722582733,1450.0,2025-08,865.7615,2026-08,True
